cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,review_status,exclusion_reason
1059710,2016-11-14,Zimbabwe Tri-Nation Series,multi_team_series,Harare Sports Club,Unknown,Zimbabwe,Sri Lanka,"site:espncricinfo.com ""Zimbabwe"" ""Sri Lanka"" ""2016-11-14"" preview pitch conditions",set_aside,The official pre-match article did not discuss the surface; other material was generic or post-match.
1059714,2016-11-23,Zimbabwe Tri-Nation Series,multi_team_series,Queens Sports Club,Bulawayo,Sri Lanka,West Indies,"site:espncricinfo.com ""Sri Lanka"" ""West Indies"" ""2016-11-23"" preview pitch conditions",set_aside,The match-specific source was inaccessible and the accessible alternative was generic Test-venue analysis.
1078660,2017-01-24,United Arab Emirates Tri-Nation Series,multi_team_series,Dubai International Cricket Stadium,Unknown,Scotland,United Arab Emirates,"site:espncricinfo.com ""Scotland"" ""United Arab Emirates"" ""2017-01-24"" preview pitch conditions",set_aside,Only generic Dubai surface descriptions and unrelated ICC material were located.
1078661,2017-01-26,United Arab Emirates Tri-Nation Series,multi_team_series,Dubai International Cricket Stadium,Unknown,Hong Kong,United Arab Emirates,"site:espncricinfo.com ""Hong Kong"" ""United Arab Emirates"" ""2017-01-26"" preview pitch conditions",set_aside,Only generic venue ratings or result-bearing pages were located; no eligible match-specific pre-start report was verified.
1020017,2017-02-05,Chappell-Hadlee Trophy,other_odi,Seddon Park,Hamilton,New Zealand,Australia,"site:espncricinfo.com ""New Zealand"" ""Australia"" ""2017-02-05"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
1068737,2017-04-02,ICC World Cricket League Championship,qualification_pathway,Sheikh Zayed Stadium,Abu Dhabi,Papua New Guinea,United Arab Emirates,"site:espncricinfo.com ""Papua New Guinea"" ""United Arab Emirates"" ""2017-04-02"" preview pitch conditions",set_aside,Search results explicitly reconstructed conditions from post-match evidence and were ineligible.
1022357,2017-06-06,ICC Champions Trophy,champions_trophy,Sophia Gardens,Cardiff,England,New Zealand,"site:espncricinfo.com ""England"" ""New Zealand"" ""2017-06-06"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
1075506,2017-10-22,Bangladesh tour of South Africa,bilateral_series,Buffalo Park,East London,South Africa,Bangladesh,"site:espncricinfo.com ""South Africa"" ""Bangladesh"" ""2017-10-22"" preview pitch conditions",set_aside,An ESPN pre-match preview candidate was located but requires human or licensed verification before inclusion.
1124089,2017-12-06,ICC World Cricket League Championship,qualification_pathway,ICC Academy,Dubai,Hong Kong,Papua New Guinea,"site:espncricinfo.com ""Hong Kong"" ""Papua New Guinea"" ""2017-12-06"" preview pitch conditions",set_aside,Only post-match scorecards and generic Dubai conditions were located.
1130737,2018-01-15,Tri-Nation Tournament in Bangladesh,multi_team_series,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,Bangladesh,"site:espncricinfo.com ""Zimbabwe"" ""Bangladesh"" ""2018-01-15"" preview pitch conditions",set_aside,Only an ESPN pre-match preview candidate was located; human or licensed verification is required.
1130738,2018-01-17,Tri-Nation Tournament in Bangladesh,multi_team_series,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,Sri Lanka,"site:espncricinfo.com ""Zimbabwe"" ""Sri Lanka"" ""2018-01-17"" preview pitch conditions",set_aside,An ESPN pre-match preview candidate was located but requires human or licensed verification before inclusion.
1115778,2018-03-07,England tour of Australia and New Zealand,bilateral_series,University Oval,Dunedin,England,New Zealand,"site:espncricinfo.com ""England"" ""New Zealand"" ""2018-03-07"" preview pitch conditions",set_aside,"A relevant pre-match surface preview was located, but its publication time could not be resolved precisely enough for the pre-start gate."
1153244,2018-09-16,Asia Cup,continental_cup,Dubai International Cricket Stadium,Unknown,Hong Kong,Pakistan,"site:espncricinfo.com ""Hong Kong"" ""Pakistan"" ""2018-09-16"" preview pitch conditions",set_aside,No eligible non-ESPN pre-match article with a match-specific surface description was located.
1153249,2018-09-21,Asia Cup,continental_cup,Dubai International Cricket Stadium,Unknown,Bangladesh,India,"site:espncricinfo.com ""Bangladesh"" ""India"" ""2018-09-21"" preview pitch conditions",set_aside,"An indexed match-day pitch report was inaccessible, so its timing and text could not be verified."
1144997,2019-01-12,India tour of Australia,bilateral_series,Sydney Cricket Ground,Sydney,Australia,India,"site:espncricinfo.com ""Australia"" ""India"" ""2019-01-12"" preview pitch conditions",set_aside,The located pitch assessment appeared only in live match coverage and was ineligible.
1144519,2019-06-29,World Cup,world_cup,Lord's,London,Australia,New Zealand,"site:espncricinfo.com ""Australia"" ""New Zealand"" ""2019-06-29"" preview pitch conditions",set_aside,Official pre-match remarks noted a used surface but did not make a directional pitch expectation.
1196673,2019-08-18,ICC Men's Cricket World Cup League 2,qualification_pathway,Mannofield Park,Aberdeen,Scotland,Oman,"site:espncricinfo.com ""Scotland"" ""Oman"" ""2019-08-18"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1199227,2019-09-19,ICC Men's Cricket World Cup League 2,qualification_pathway,Central Broward Regional Park Stadium Turf Ground,Lauderhill,United States of America,Papua New Guinea,"site:espncricinfo.com ""United States of America"" ""Papua New Guinea"" ""2019-09-19"" preview pitch conditions",set_aside,Located material relied on post-match scores or generic venue history and was ineligible.
1211170,2020-01-06,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,Namibia,"site:espncricinfo.com ""United Arab Emirates"" ""Namibia"" ""2020-01-06"" preview pitch conditions",set_aside,No accessible match-specific pitch source with a verifiable pre-start publication timestamp was located.
1211173,2020-01-09,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Namibia,United Arab Emirates,"site:espncricinfo.com ""Namibia"" ""United Arab Emirates"" ""2020-01-09"" preview pitch conditions",set_aside,Located material relied on post-match performance; no verified pre-match pitch report was found.
1215122,2020-02-05,ICC Men's Cricket World Cup League 2,qualification_pathway,Tribhuvan University International Cricket Ground,Kirtipur,Oman,Nepal,"site:espncricinfo.com ""Oman"" ""Nepal"" ""2020-02-05"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1215124,2020-02-08,ICC Men's Cricket World Cup League 2,qualification_pathway,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,United States of America,"site:espncricinfo.com ""Nepal"" ""United States of America"" ""2020-02-08"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1215126,2020-02-11,ICC Men's Cricket World Cup League 2,qualification_pathway,Tribhuvan University International Cricket Ground,Kirtipur,Oman,United States of America,"site:espncricinfo.com ""Oman"" ""United States of America"" ""2020-02-11"" preview pitch conditions",set_aside,No eligible pre-match article with a specific surface assessment and verified timestamp was located.
1183537,2020-03-13,New Zealand tour of Australia,bilateral_series,Sydney Cricket Ground,Sydney,Australia,New Zealand,"site:espncricinfo.com ""Australia"" ""New Zealand"" ""2020-03-13"" preview pitch conditions",set_aside,The accessible ESPN preview route contains no pre-match article body or pitch section.
1244023,2021-01-22,ICC Men's Cricket World Cup Super League,qualification_pathway,Shere Bangla National Stadium,Dhaka,West Indies,Bangladesh,"site:espncricinfo.com ""West Indies"" ""Bangladesh"" ""2021-01-22"" preview pitch conditions",set_aside,Only an ESPN pre-match pitch report was located; human or licensed verification is required.
1252069,2021-03-10,West Indies v Sri Lanka,other_odi,Sir Vivian Richards Stadium,North Sound,Sri Lanka,West Indies,"site:espncricinfo.com ""Sri Lanka"" ""West Indies"" ""2021-03-10"" preview pitch conditions",set_aside,The official board pitch assessment was published after the scheduled match start.
1252071,2021-03-14,West Indies v Sri Lanka,other_odi,Sir Vivian Richards Stadium,North Sound,Sri Lanka,West Indies,"site:espncricinfo.com ""Sri Lanka"" ""West Indies"" ""2021-03-14"" preview pitch conditions",set_aside,The indexed non-ESPN preview was inaccessible for direct review; ESPN candidates require human or licensed verification.
1233976,2021-03-20,Bangladesh tour of New Zealand,bilateral_series,University Oval,Dunedin,Bangladesh,New Zealand,"site:espncricinfo.com ""Bangladesh"" ""New Zealand"" ""2021-03-20"" preview pitch conditions",set_aside,The official pre-match article supplied match timing but no surface assessment.
1243395,2021-03-28,England tour of India,bilateral_series,Maharashtra Cricket Association Stadium,Pune,India,England,"site:espncricinfo.com ""India"" ""England"" ""2021-03-28"" preview pitch conditions",set_aside,An ESPN pre-match preview candidate was located but requires human or licensed verification before inclusion.
1267679,2021-07-20,Bangladesh tour of Zimbabwe,bilateral_series,Harare Sports Club,Harare,Zimbabwe,Bangladesh,"site:espncricinfo.com ""Zimbabwe"" ""Bangladesh"" ""2021-07-20"" preview pitch conditions",set_aside,The located pitch discussion was on a match-prediction page excluded by the source protocol.
1276293,2021-09-06,Papua New Guinea v United States of America ODI Series,other_odi,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Papua New Guinea,United States of America,"site:espncricinfo.com ""Papua New Guinea"" ""United States of America"" ""2021-09-06"" preview pitch conditions",set_aside,No accessible match-specific pitch source with a verifiable pre-start publication timestamp was located.
1275249,2021-09-13,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United States of America,Nepal,"site:espncricinfo.com ""United States of America"" ""Nepal"" ""2021-09-13"" preview pitch conditions",set_aside,No match-specific pre-match surface report with a verifiable publication timestamp was located.
1275257,2021-09-28,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Scotland,Oman,"site:espncricinfo.com ""Scotland"" ""Oman"" ""2021-09-28"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1275259,2021-10-01,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Papua New Guinea,Oman,"site:espncricinfo.com ""Papua New Guinea"" ""Oman"" ""2021-10-01"" preview pitch conditions",set_aside,No match-specific pre-match surface report with a verifiable publication timestamp was located.
1294970,2022-01-18,Zimbabwe tour of Sri Lanka,bilateral_series,Pallekele International Cricket Stadium,Kandy,Zimbabwe,Sri Lanka,"site:espncricinfo.com ""Zimbabwe"" ""Sri Lanka"" ""2022-01-18"" preview pitch conditions",set_aside,Located pitch claims were on fantasy-prediction or post-match pages excluded by the source protocol.
1302616,2022-03-05,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Oman,United Arab Emirates,"site:espncricinfo.com ""Oman"" ""United Arab Emirates"" ""2022-03-05"" preview pitch conditions",set_aside,No indexed ESPN preview or independently timestamped match-specific pitch report was located.
1322035,2022-07-17,ICC Men's Cricket World Cup League 2,qualification_pathway,"Titwood, Glasgow",Glasgow,Nepal,Scotland,"site:espncricinfo.com ""Nepal"" ""Scotland"" ""2022-07-17"" preview pitch conditions",set_aside,No eligible pre-match article with a specific surface assessment and verified timestamp was located.
1317477,2022-08-31,Zimbabwe tour of Australia,bilateral_series,"Tony Ireland Stadium, Townsville",Townsville,Zimbabwe,Australia,"site:espncricinfo.com ""Zimbabwe"" ""Australia"" ""2022-08-31"" preview pitch conditions",set_aside,The located two-paced surface description came from post-match coverage of the preceding game and did not forecast this match.
1341972,2022-11-23,ICC Men's Cricket World Cup League 2,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Papua New Guinea,Namibia,"site:espncricinfo.com ""Papua New Guinea"" ""Namibia"" ""2022-11-23"" preview pitch conditions",set_aside,An indexed match-specific preview could not be retrieved for publication-time and text verification.
1341980,2022-12-08,ICC Men's Cricket World Cup League 2,qualification_pathway,"United Cricket Club Ground, Windhoek",Windhoek,Nepal,Scotland,"site:espncricinfo.com ""Nepal"" ""Scotland"" ""2022-12-08"" preview pitch conditions",set_aside,No eligible pre-match article with a specific surface assessment and verified timestamp was located.
1348646,2023-01-18,New Zealand tour of India,bilateral_series,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,New Zealand,"site:espncricinfo.com ""India"" ""New Zealand"" ""2023-01-18"" preview pitch conditions",set_aside,The located toss and pitch article was published after the scheduled match start.
1365097,2023-03-30,ICC Cricket World Cup Qualifier Play-off,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Jersey,Namibia,"site:espncricinfo.com ""Jersey"" ""Namibia"" ""2023-03-30"" preview pitch conditions",set_aside,Official pre-match material confirmed the fixture but did not describe the surface.
1367985,2023-04-21,ACC Men's Premier Cup,other_odi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Oman,"site:espncricinfo.com ""Nepal"" ""Oman"" ""2023-04-21"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1368002,2023-05-01,ACC Men's Premier Cup,other_odi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,United Arab Emirates,Nepal,"site:espncricinfo.com ""United Arab Emirates"" ""Nepal"" ""2023-05-01"" preview pitch conditions",set_aside,Located surface descriptions were from interrupted live or post-match coverage and were ineligible.
1336052,2023-09-08,New Zealand tour of England,bilateral_series,"Sophia Gardens, Cardiff",Cardiff,England,New Zealand,"site:espncricinfo.com ""England"" ""New Zealand"" ""2023-09-08"" preview pitch conditions",set_aside,The indexed non-ESPN pitch report was inaccessible for direct review; other located pages were fantasy or live coverage.
1388412,2023-09-15,Asia Cup,continental_cup,"R Premadasa Stadium, Colombo",Colombo,Bangladesh,India,"site:espncricinfo.com ""Bangladesh"" ""India"" ""2023-09-15"" preview pitch conditions",set_aside,An ESPN pre-match preview candidate was located but requires human or licensed verification before inclusion.
1420220,2024-02-08,Canada tour of Nepal,bilateral_series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Canada,"site:espncricinfo.com ""Nepal"" ""Canada"" ""2024-02-08"" preview pitch conditions",set_aside,The eligible pre-match article contained weather but no pitch assessment; surface descriptions were post-match.
1420221,2024-02-10,Canada tour of Nepal,bilateral_series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Canada,Nepal,"site:espncricinfo.com ""Canada"" ""Nepal"" ""2024-02-10"" preview pitch conditions",set_aside,No match-specific pre-match surface report with a verifiable publication timestamp was located.
1420531,2024-02-19,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Namibia,Netherlands,"site:espncricinfo.com ""Namibia"" ""Netherlands"" ""2024-02-19"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1420532,2024-02-21,ICC Men's Cricket World Cup League 2,qualification_pathway,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Namibia,"site:espncricinfo.com ""Nepal"" ""Namibia"" ""2024-02-21"" preview pitch conditions",set_aside,The official competition preview did not provide a match-specific surface assessment.
1445038,2024-08-19,ICC Men's Cricket World Cup League 2,qualification_pathway,"Hazelaarweg, Rotterdam",Rotterdam,United States of America,Canada,"site:espncricinfo.com ""United States of America"" ""Canada"" ""2024-08-19"" preview pitch conditions",set_aside,Official pre-match material confirmed the series but did not provide a match-specific surface assessment.
1385700,2024-09-19,Australia tour of England,bilateral_series,"Trent Bridge, Nottingham",Nottingham,England,Australia,"site:espncricinfo.com ""England"" ""Australia"" ""2024-09-19"" preview pitch conditions",set_aside,The official pre-match article did not discuss the surface; other pitch claims lacked verified provenance.
1385701,2024-09-21,Australia tour of England,bilateral_series,"Headingley, Leeds",Leeds,Australia,England,"site:espncricinfo.com ""Australia"" ""England"" ""2024-09-21"" preview pitch conditions",set_aside,The located pitch discussion was on a fantasy-prediction page excluded by the source protocol.
1431090,2024-10-07,Ireland vs South Africa,other_odi,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Ireland,South Africa,"site:espncricinfo.com ""Ireland"" ""South Africa"" ""2024-10-07"" preview pitch conditions",set_aside,"The located non-ESPN preview inconsistently attributed the Abu Dhabi venue to Dubai, so match-specific pitch linkage was not accepted."
1468881,2025-02-12,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United States of America,Oman,"site:espncricinfo.com ""United States of America"" ""Oman"" ""2025-02-12"" preview pitch conditions",set_aside,The official pre-match article did not discuss the surface; other material lacked eligible provenance.
1474413,2025-03-13,ICC Men's Cricket World Cup League 2,qualification_pathway,"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia,Netherlands,"site:espncricinfo.com ""Namibia"" ""Netherlands"" ""2025-03-13"" preview pitch conditions",set_aside,No match-specific pre-match surface report with a verifiable publication timestamp was located.
1528273,2026-04-20,New Zealand tour of Bangladesh,bilateral_series,"Shere Bangla National Stadium, Mirpur",Dhaka,New Zealand,Bangladesh,"site:espncricinfo.com ""New Zealand"" ""Bangladesh"" ""2026-04-20"" preview pitch conditions",set_aside,Located material was post-match commentary or generic venue history and was ineligible.
1535645,2026-05-30,Australia tour of Pakistan,bilateral_series,Rawalpindi Cricket Stadium,Rawalpindi,Australia,Pakistan,"site:espncricinfo.com ""Australia"" ""Pakistan"" ""2026-05-30"" preview pitch conditions",set_aside,"No accessible source simultaneously verified the specific match, pitch analysis, and pre-start publication time."
1538428,2026-06-12,ICC Men's Cricket World Cup League 2,qualification_pathway,"Maple Leaf North-West Ground, King City",King City,Canada,United States of America,"site:espncricinfo.com ""Canada"" ""United States of America"" ""2026-06-12"" preview pitch conditions",set_aside,Located material mixed post-match information with generic venue history and was ineligible.
1549965,2026-09-08,ACC Men's Premier Cup,other_odi,"YSD-UKM Cricket Oval, Bangi",Bangi,United Arab Emirates,Oman,"site:espncricinfo.com ""United Arab Emirates"" ""Oman"" ""2026-09-08"" preview pitch conditions",set_aside,No eligible pre-match surface report with a verifiable publication timestamp was available at review time.
